Subpopulation,XCOORD,YCOORD,ID,sex,age,infection,DisperseCDist,hindex,L0A0,L0A1,L1A0,L1A1,L2A0,L2A1,L3A0,L3A1,L4A0,L4A1,L5A0,L5A1,L6A0,L6A1,L7A0,L7A1,L8A0,L8A1,L9A0,L9A1
1,0.0,0.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,1.0,0.0,T2M4F5Pop1,1,1,0,0.0,0.3125,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,0,2,0,2,
2,2.0,0.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,3.0,0.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,0.0,1.0,T2M4F14Pop1,0,1,0,0.0,0.1875,0,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,0,1,1,
1,1.0,1.0,T2M13F0Pop3,1,1,0,0.0,0.4375,0,2,2,0,1,1,0,2,2,0,1,1,0,2,2,0,1,1,1,1,
2,2.0,1.0,T2M6F1Pop2,0,1,0,0.0,0.625,1,1,0,2,2,0,1,1,0,2,1,1,2,0,1,1,1,1,1,1,
2,3.0,1.0,T2M13F5Pop3,0,1,0,0.0,0.5,1,1,1,1,1,1,0,2,1,1,2,0,2,0,0,2,2,0,1,1,
4,0.0,2.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,1.0,2.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,2.0,2.0,T2M6F1Pop2,0,1,0,0.0,0.625,1,1,0,2,1,1,1,1,0,2,0,2,1,1,1,1,1,1,2,0,
4,3.0,2.0,T2M4F14Pop1,0,1,0,0.0,0.1875,0,2,1,1,0,2,1,1,1,1,0,2,0,2,1,1,2,0,1,1,
4,0.0,3.0,T1M5F10Pop1,1,2,0,NoMove,0.375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,
3,1.0,3.0,T2M4F2Pop1,1,1,0,0.0,0.3125,1,1,2,0,1,1,1,1,1,1,0,2,1,1,0,2,1,1,0,2,
3,2.0,3.0,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,3.0,3.0,T2M4F14Pop1,1,1,0,0.0,0.1875,0,2,1,1,1,1,2,0,1,1,1,1,2,0,1,1,2,0,1,1,
